song,artist,album,cover art,release year
home body,Lil Durk,just cause yall wated,https://www.google.com/url?sa=i&url=https%3A%2F%2Fm.soundcloud.com%2Flildurk%2Fhome-body-feat-gunna-tk&psig=AOvVaw0YB1CQ6gUfON8NgkAjpO9y&ust=1728397537866000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCMDQzty8_IgDFQAAAAAdAAAAABAE,2018
halo,Beyonce,I am... Sasha Fierce,https://www.google.com/imgres?q=Beyonc%C3%A9%20I%20Am...%20Sasha%20Fierce&imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fen%2F9%2F96%2FI_Am..._Sasha_Fierce.png&imgrefurl=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FI_Am..._Sasha_Fierce&docid=hO2gcPXaXmCOJM&tbnid=tgLBf8dGiIE5uM&vet=12ahUKEwj8naGlvvyIAxV4F2IAHVjVE08QM3oECBIQAA..i&w=300&h=300&hcb=2&ved=2ahUKEwj8naGlvvyIAxV4F2IAHVjVE08QM3oECBIQAA,2008
in the morning,"J.cole, Drake",Cole World: The Sideline Story,https://www.google.com/imgres?q=J.%20Cole%20Cole%20World%3A%20The%20Sideline%20Story&imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fen%2F7%2F76%2FColeWorld.jpeg&imgrefurl=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FCole_World%3A_The_Sideline_Story&docid=VktjXnWv3MSdfM&tbnid=b6Uu0g4lD6hB-M&vet=12ahUKEwirytCNv_yIAxXYMVkFHY9UJaEQM3oECEAQAA..i&w=316&h=316&hcb=2&ved=2ahUKEwirytCNv_yIAxXYMVkFHY9UJaEQM3oECEAQAA,2011
slizzyhunchodon,Cash Cobain,PLAY CASH COBAIN,https://www.google.com/imgres?q=Cash%20Cobain%20PLAY%20CASH%20COBAIN&imgurl=https%3A%2F%2Fmedia.pitchfork.com%2Fphotos%2F66bca3a094b449df62a0f729%2F2%3A3%2Fw_1333%2Ch_2000%2Cc_limit%2FPlay-Cash-Cobain.jpg&imgrefurl=https%3A%2F%2Fpitchfork.com%2Freviews%2Falbums%2Fcash-cobain-play-cash-cobain%2F&docid=fUsMWEXPrtObDM&tbnid=p35XSs5cs7OM2M&vet=12ahUKEwj4svLAv_yIAxX2q4kEHcR3MF4QM3oECBYQAA..i&w=1333&h=2000&hcb=2&ved=2ahUKEwj4svLAv_yIAxX2q4kEHcR3MF4QM3oECBYQAA,2024
every girl,Young Money,We are Young Money,https://www.google.com/imgres?q=Tyga%20We%20Are%20Young%20Money&imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fen%2Fc%2Fcc%2FYoung_Money_-_We_Are_Young_Money.png&imgrefurl=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FWe_Are_Young_Money&docid=fJ9Ou557aJXFyM&tbnid=lEHRgFPR5Mzz3M&vet=12ahUKEwjW4duHwPyIAxWGF1kFHVmpI0sQM3oECBYQAA..i&w=300&h=300&hcb=2&ved=2ahUKEwjW4duHwPyIAxWGF1kFHVmpI0sQM3oECBYQAA,2009
we paid,"Lil Baby, 42 Dugg",My Turn,https://www.google.com/imgres?q=Lil%20Baby%20My%20Turn&imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fen%2F4%2F44%2FLil_Baby_-_My_Turn.png&imgrefurl=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FMy_Turn_(Lil_Baby_album)&docid=rsr6ef9ztYofSM&tbnid=xezyTIYnIUqRzM&vet=12ahUKEwipxfXi-f6IAxW9EFkFHYjtDocQM3oECBUQAA..i&w=300&h=300&hcb=2&ved=2ahUKEwipxfXi-f6IAxW9EFkFHYjtDocQM3oECBUQAA,2020
rodeo drive,Tory Lanez,Rodeo Drive (Twitch Tapes),https://www.google.com/imgres?q=Tory%20Lanez%20Rodeo%20Drive%20(Twitch%20Tapes)&imgurl=https%3A%2F%2Fi1.sndcdn.com%2Fartworks-Vh8PH1fLZ6Iv-0-t500x500.jpg&imgrefurl=https%3A%2F%2Fsoundcloud.com%2Ftorylanez%2Frodeo-drive-prison-tapes&docid=TRQuxJHfS-S46M&tbnid=bqtXywp_vf2P4M&vet=12ahUKEwiNlaeB-v6IAxWjKVkFHfQHDtwQM3oECBYQAA..i&w=500&h=500&hcb=2&ved=2ahUKEwiNlaeB-v6IAxWjKVkFHfQHDtwQM3oECBYQAA,2024
coming down,The Weekend,House of Balloons,https://www.google.com/imgres?q=The%20Weeknd%20House%20of%20Balloons&imgurl=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F81-blrK5yoL._UF1000%2C1000_QL80_.jpg&imgrefurl=https%3A%2F%2Fwww.amazon.com%2FHouse-Balloons-Explicit-Weeknd%2Fdp%2FB010NUQNIE&docid=6tGStulqelzqUM&tbnid=tLyLc3TcyumA-M&vet=12ahUKEwiV5p-x-v6IAxVEhIkEHediKswQM3oECBgQAA..i&w=1000&h=1000&hcb=2&ved=2ahUKEwiV5p-x-v6IAxVEhIkEHediKswQM3oECBgQAA,2011
good morning gorgeous,Mary J Blige,Good Morning Gorgeous,https://www.google.com/imgres?q=good%20morning%20gorgeous%20mary%20j%20blige&imgurl=https%3A%2F%2Fi.scdn.co%2Fimage%2Fab67616d0000b27363b9d8845fe7d34795c16c9d&imgrefurl=https%3A%2F%2Fopen.spotify.com%2Falbum%2F5K3aBzXwBvSltrtfBNYRl6&docid=wo4npZyg8uSKbM&tbnid=JoIvYINdpnwtwM&vet=12ahUKEwiZ7Zj--v6IAxUTEGIAHRCOLEYQM3oECHAQAA..i&w=640&h=640&hcb=2&ved=2ahUKEwiZ7Zj--v6IAxUTEGIAHRCOLEYQM3oECHAQAA,2022
Ski,Young Thug,Slime Language 2,https://www.google.com/imgres?q=Young%20Thug%20Slime%20Language%202&imgurl=https%3A%2F%2Fmedia.pitchfork.com%2Fphotos%2F6082d5c597560d66ddd8190a%2F1%3A1%2Fw_1425%2Ch_1425%2Cc_limit%2FYoung%2520Thug%2C%2520YSL%2520%26%2520Gunna%3A%2520Slime%2520Language%25202.jpeg&imgrefurl=https%3A%2F%2Fpitchfork.com%2Freviews%2Falbums%2Fyoung-thug-gunna-young-stoner-life-slime-language-2%2F&docid=a54n9_YupAYfQM&tbnid=YQD80OjxqjfeFM&vet=12ahUKEwjF_dyr-_6IAxVEw_ACHZktCecQM3oECBIQAA..i&w=1425&h=1425&hcb=2&ved=2ahUKEwjF_dyr-_6IAxVEw_ACHZktCecQM3oECBIQAA,2021
