song,artist,album,cover art,release year
Home Body,Lil Durk,just cause yall wated,https://media.pitchfork.com/photos/5ac236bc905a0933b4cc5478/1:1/w800h800climit/Lil%20Durk%20%E2%80%93%20Just%20Cuz%20Y'all%20Waited.jpg, 2018
Halo,Beyonce,I am... Sasha Fierce,https://upload.wikimedia.org/wikipedia/en/9/96/IAm...SashaFierce.png, 2008
In The Morning,"J.cole, Drake",Cole World: The Sideline Story,https://m.media-amazon.com/images/I/81rhG8tQRZL.UF10001000QL80.jpg, 2011
Slizzyhunchodon,Cash Cobain,PLAY CASH COBAIN,https://media.pitchfork.com/photos/66bca3a094b449df62a0f729/2:3/w1333h2000climit/Play-Cash-Cobain.jpg, 2024
Every Girl,Young Money,We are Young Money,https://m.media-amazon.com/images/I/51iEcj-RbOL.SY200QL15.jpg, 2009
We Paid,"Lil Baby, 42 Dugg",My Turn,https://m.media-amazon.com/images/I/81rsoIw7-XL.UF10001000QL80.jpg, 2020
Rodeo Drive,Tory Lanez,Rodeo Drive (Twitch Tapes),https://i1.sndcdn.com/artworks-Vh8PH1fLZ6Iv-0-t500x500.jpg,2024
Coming Down,The Weekend,House of Balloons,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/TheWeeknd-HouseofBalloons.png/220px-TheWeeknd-HouseofBalloons.png, 2011
Good Morning Gorgeous,Mary J Blige,Good Morning Gorgeous,https://media.pitchfork.com/photos/6205374c7db00b3b97548d5c/1:1/w450%2Cclimit/Mary-J-Blige.jpeg, 2022
Ski,Young Thug,Slime Language 2,https://upload.wikimedia.org/wikipedia/en/c/cd/YSLRecords-SlimeLanguage2.png, 2021
